trans_unix,merchant,category,amt,gender,city,state,city_pop,job,dob_unix,is_fraud,logamt
10.56,216,2,20.58,1,772,18,344,72,-55555200,0,3.02431973
9.57,475,3,77.26,1,784,26,1686,145,563155200,0,4.347176357
2.22,139,6,55.94,1,710,33,8874,273,997920000,0,4.024279688
3.16,261,6,76.57,2,413,25,1201,155,353721600,0,4.338205355
11.41,224,6,38.91,1,586,39,139,329,-460944000,0,3.661251287
8.51,628,13,90.35,1,805,17,163415,417,1135900800,0,4.503691017
9.15,465,4,23.59,1,358,44,2906700,28,462067200,0,3.160822893
1.5,192,10,2.9,1,328,21,3289,382,-1129766400,0,1.064710737
7.78,419,2,36.28,1,113,48,14871,377,163641600,0,3.591266625
1.83,39,8,23.24,2,892,44,2836,127,533952000,0,3.145874932
3.97,46,7,44.99,2,123,25,1120,459,-369532800,0,3.806440243
2.98,250,2,164.77,1,127,38,1288,45,-1031011200,0,5.104550562
7.89,426,8,134.71,1,211,13,222785,493,-408326400,0,4.90312432
9.31,348,12,5.49,1,412,33,310,440,307497600,0,1.702928256
12.12,305,9,13.62,1,108,41,1725,425,186969600,0,2.611539301
5.92,51,8,61.25,2,501,14,129,64,-96163200,0,4.114963849
6.48,628,13,8.86,2,832,1,145,10,-919814400,0,2.181546765
3.16,468,13,144.81,2,325,44,2395,335,785030400,0,4.975422538
1.98,186,14,8.57,1,209,10,88735,94,608083200,0,2.148267733
2.45,576,2,30.89,2,22,36,2208,295,-230688000,0,3.430432507
5.13,651,4,82.41,1,167,6,525713,304,736905600,0,4.411706789
8.13,47,11,51.25,2,34,20,1506,360,-276048000,0,3.936715618
4.08,482,7,171.94,1,155,44,34153,56,842313600,0,5.147145579
5.44,680,7,151.59,2,577,41,46944,417,-844214400,0,5.021179508
4.99,636,4,53.4,1,113,48,14871,377,163641600,0,3.977810746
8.39,278,6,48.88,1,45,49,878,402,185673600,0,3.889368315
2.04,171,6,35.34,2,697,35,2258,56,-1003363200,0,3.565015467
2.77,542,6,73.59,2,717,35,1453,476,161654400,0,4.298509147
11.54,276,6,27.48,2,621,35,9565,188,-1295740800,0,3.313458467
10.93,273,3,62.84,2,792,48,895,92,959644800,0,4.140591813
5.64,168,6,2.75,2,581,16,5791,135,-291513600,0,1.011600912
2.75,487,12,87.82,2,820,17,269,359,-193795200,0,4.475289265
6.16,671,13,4.09,2,263,28,238602,414,768873600,0,1.40854497
2.04,24,11,230.99,1,243,23,372,189,837043200,0,5.44237442
12.75,18,7,91.26,1,276,42,355,195,-426643200,0,4.513712575
12.27,256,12,4.56,2,768,46,104396,362,-571708800,0,1.517322624
4.75,158,3,63.54,2,245,32,124967,320,377740800,0,4.151669629
9.16,54,11,34.12,1,181,18,581,371,-60220800,0,3.529883723
12.19,601,4,89.59,1,111,48,3684,307,407376000,0,4.495243707
11.2,67,8,112.46,1,677,44,43,172,-607305600,0,4.722597603
2.48,74,5,52.59,2,548,43,158701,259,289526400,0,3.962525988
6.55,39,8,72.01,1,745,44,46563,445,53395200,0,4.276804998
12.8,609,5,141.39,1,397,44,2807,83,-1197072000,0,4.95152203
8.02,301,9,7.62,1,380,32,18459,151,-1255651200,0,2.03077637
3.85,20,13,6.91,1,770,24,2607,266,849571200,0,1.932969638
6.84,299,10,6.7,1,12,39,166081,414,938736000,0,1.902107526
4.48,594,12,8.16,2,359,24,272,203,1025827200,0,2.099244169
8.49,106,6,133.97,2,794,3,111,63,992390400,0,4.897615894
7.88,107,1,32.07,1,418,51,635,359,142905600,0,3.467921014
6.95,572,6,34.8,1,741,38,917,385,836697600,0,3.549617387
1.2,180,13,2.49,2,861,32,8097,288,-153705600,0,0.91228271
8.97,409,11,44.74,1,608,13,53,432,118627200,0,3.800867956
7.37,377,14,7.73,1,553,10,276002,342,-1089590400,0,2.045108863
5.29,279,2,20.67,1,170,50,630,197,-297475200,0,3.028683374
4.87,320,11,45.61,2,4,23,937,455,-338947200,0,3.820126991
5.52,167,6,69.55,1,91,47,5895,412,205977600,0,4.242045918
10.35,367,11,122.08,2,338,26,4573,189,603417600,0,4.804676568
4.82,338,12,7.82,2,258,35,3833,297,55814400,0,2.056684555
2.11,42,1,67.32,2,240,19,1261,53,110332800,0,4.209457369
7.57,560,3,66.86,1,221,46,1970,152,526003200,0,4.202600881
2.42,604,7,32.96,1,869,23,765,241,108691200,0,3.495294705
5.38,499,3,68.51,2,40,22,23045,474,-326073600,0,4.22697972
10.44,643,2,62.48,2,743,35,1858,88,478656000,0,4.134846506
5.68,607,8,14.79,1,244,2,1186,347,563673600,0,2.693951277
7.08,136,4,15.21,2,792,48,895,92,959644800,0,2.721953106
12.69,387,12,13.96,2,437,16,5341,48,817171200,0,2.636196097
4.85,149,9,135.23,2,276,36,267,190,1138492800,0,4.906977032
12.02,393,14,4.52,1,727,5,92043,84,-242611200,0,1.508511994
1.36,285,13,4.69,2,719,10,3776,431,242870400,0,1.545432582
11.84,345,6,74.06,2,99,16,965,230,413683200,0,4.304875575
4.94,185,6,8.23,2,239,37,116001,289,768528000,0,2.107786015
10.2,204,13,1.83,2,339,43,4729,214,419558400,0,0.604315967
4.1,382,6,46.24,2,313,19,55581,49,116640000,0,3.833845224
7.03,513,7,33.2,2,161,26,3451,196,485308800,0,3.502549876
5.29,286,3,70.57,2,235,49,9679,172,702864000,0,4.256605125
4.95,349,2,12.39,1,316,11,10295,453,914630400,0,2.516889696
10.96,106,12,10.83,2,713,34,450,252,-705542400,0,2.382320061
9.21,71,12,710.23,1,405,44,24536,301,466473600,0,6.565588861
11.72,221,11,61.9,1,641,2,5778,154,-507254400,0,4.12552018
6.02,67,8,16.33,1,3,49,3508,431,-706665600,0,2.793003907
7.31,256,12,7.91,1,154,10,172247,211,340934400,0,2.068127782
8.72,334,7,68.35,2,142,39,348,282,-746668800,0,4.224641563
4.71,563,8,8,2,724,44,1595797,188,220492800,0,2.079441542
11.69,221,11,69.23,1,452,15,725,179,123292800,0,4.237434295
1.95,127,8,130.75,1,720,25,927396,315,-277948800,0,4.873287103
4.88,326,9,13.33,2,633,26,1414,470,-343094400,0,2.590017134
9.39,430,13,5.27,1,185,18,502,76,-281404800,0,1.662030363
3.91,680,7,13.72,2,757,26,1196,271,-333244800,0,2.618854622
6.3,578,11,100.66,1,865,30,73,357,-1069545600,0,4.611748501
2.78,479,4,92.92,2,823,30,4005,310,-751075200,0,4.531738908
2.8,329,5,103.35,1,505,29,454,356,112752000,0,4.638121286
5.68,571,5,158.4,2,533,13,1132,354,-248659200,0,5.065123479
3.47,56,1,235.3,2,550,23,128715,227,832896000,0,5.460861296
4.24,75,11,75.82,2,295,43,1804,92,182563200,0,4.32836211
3.69,82,6,43.4,1,677,44,43,172,-607305600,0,3.770459441
3.21,193,8,32.31,2,450,13,695,7,-456537600,0,3.47537678
9.03,394,12,1.67,1,177,35,722,103,687830400,0,0.512823626
1.45,671,13,475.61,1,291,23,6951,264,519436800,0,6.164598191
4.73,277,13,5.05,2,111,37,471,437,-876009600,0,1.619388243
9.19,264,8,30.03,1,742,20,2121,386,150940800,0,3.402196882
8.84,265,1,82.69,2,158,39,168,384,307843200,0,4.415098676
3,101,3,82.58,1,570,22,1643,196,229651200,0,4.41376752
8.12,130,2,221.61,1,185,18,502,76,-281404800,0,5.40091908
2.47,497,8,30.74,2,404,10,32891,475,571708800,0,3.425564738
5.85,621,6,12.09,1,642,39,1526206,436,504921600,0,2.492378665
9.04,198,8,31.44,1,315,28,5621,476,153619200,0,3.448080968
3.47,670,10,2.98,2,472,30,206,235,-39312000,0,1.091923301
12.54,253,13,3.38,1,745,44,46563,445,53395200,0,1.217875709
9.06,90,7,111.69,1,78,25,467,17,-587001600,0,4.715727177
12.34,323,1,1.24,2,724,44,1595797,188,220492800,0,0.21511138
4.33,193,8,57.4,2,264,39,2054,97,244339200,0,4.050044303
1.06,359,4,58.44,1,177,35,722,103,687830400,0,4.068000587
11.29,295,1,65.03,2,131,49,1360,315,500083200,0,4.174848702
6.6,396,5,42.76,2,258,35,3833,297,55814400,0,3.755603086
12.59,569,14,1.42,1,125,5,1139,470,-566870400,0,0.350656872
5.1,413,2,8.63,1,252,17,242,473,585100800,0,2.155244505
2.56,159,4,68.56,1,151,36,269,249,-104025600,0,4.227709274
1.49,36,11,25.3,1,433,39,213,429,98496000,0,3.230804396
7.24,188,7,43.82,2,518,32,3279,220,307929600,0,3.780090334
4.27,680,7,30.06,1,763,42,343,132,100137600,0,3.403195384
7.42,446,6,42.61,1,590,36,1443,395,-215568000,0,3.752088968
7.17,94,3,92.76,1,498,45,2078,409,-175305600,0,4.530015512
12.77,24,11,23.22,1,108,41,1725,425,186969600,0,3.145013976
5.07,117,1,21.99,1,252,17,242,473,585100800,0,3.090587805
5.96,151,14,7.86,2,62,35,1766,288,-207619200,0,2.061786606
11.06,600,2,3.65,1,243,23,372,189,837043200,0,1.294727168
7.03,101,3,62.36,2,193,2,8269,298,252720000,0,4.132924044
5.76,147,5,124.31,2,104,6,92337,165,-38102400,0,4.822778446
4.99,502,14,516.62,2,891,36,341,5,314323200,0,6.247307595
8.16,496,8,98.77,2,404,10,32891,475,571708800,0,4.592793915
3.37,98,7,7.48,1,795,50,836,201,399427200,0,2.012232792
10.27,600,2,44.85,2,512,24,1022298,73,244339200,0,3.803323589
2.4,409,11,1.47,2,725,5,1241364,72,-296956800,0,0.385262401
10.5,592,11,47.14,1,804,5,337,316,-457401600,0,3.853121898
4.69,543,5,96.64,2,172,31,3807,438,972345600,0,4.570992734
12.22,643,2,57.46,2,59,44,2457,478,384048000,0,4.051089054
4.11,692,3,58.97,2,15,13,1700,166,1040256000,0,4.07702884
9.87,415,5,144.38,1,410,36,118,353,-351475200,0,4.972448713
11.17,30,5,125.46,1,499,6,61,379,-920246400,0,4.831986983
4.72,207,9,347.28,1,65,35,34496,272,56851200,0,5.850131371
2.27,404,13,6.19,1,508,39,1334,31,566697600,0,1.822935087
11.46,163,3,43.47,1,50,20,1850,113,-158112000,0,3.772071045
2.06,556,11,98.8,2,577,41,46944,417,-844214400,0,4.593097605
5.64,551,5,218.97,1,529,39,3688,134,593740800,0,5.388934734
4.58,570,2,90.11,2,239,37,116001,289,768528000,0,4.501031146
1.62,141,9,9.57,1,702,44,18128,257,689472000,0,2.258633205
1.04,603,5,64.58,1,428,10,217,460,664675200,0,4.167904765
2.93,4,1,92.29,1,700,25,1847,447,625363200,0,4.524935793
7.61,656,11,59.57,2,359,24,272,203,1025827200,0,4.087152092
6.39,6,4,40.26,2,503,20,47249,285,375235200,0,3.69535842
2.5,582,7,6.79,1,291,23,6951,264,519436800,0,1.915450942
8.48,667,1,31.21,1,810,35,6120,71,245203200,0,3.440738556
12.62,272,5,131.43,2,371,6,648,98,22723200,0,4.87847439
4.19,488,12,78.1,2,102,22,824,277,184118400,0,4.357990057
3.89,430,13,7.68,2,577,41,46944,417,-844214400,0,2.038619547
5.29,94,3,60.54,1,872,11,3430,141,-592444800,0,4.103304304
5.53,261,6,82.44,2,367,2,190178,460,134006400,0,4.412070756
9.67,209,3,60.37,1,700,25,1847,447,625363200,0,4.100492293
3.74,454,11,31.73,1,433,39,213,429,98496000,0,3.457262606
8.2,554,8,9.19,2,740,49,153,382,-217123200,0,2.218115936
2.62,31,11,3.64,2,510,49,817312,4,1111104000,0,1.291983682
10.55,542,6,75.52,2,554,44,686,334,365299200,0,4.324397522
2.28,644,8,52.86,2,703,23,31515,346,89683200,0,3.967646909
5.1,603,5,62.82,2,535,37,7163,200,413251200,0,4.140273494
6.81,448,5,39.63,1,407,16,1423,372,939254400,0,3.679586407
6.38,243,3,52.75,2,813,21,470,306,-117936000,0,3.965563772
7.03,16,4,54.28,2,858,35,11250,270,272073600,0,3.994155835
6.04,52,4,42.93,2,729,24,16163,237,572486400,0,3.759570882
12.82,140,1,74.69,1,676,24,136,66,982540800,0,4.313346214
4.75,44,3,40.65,2,175,21,626,152,-254102400,0,3.704998836
9.04,476,9,6.32,2,512,24,1022298,73,244339200,0,1.843719208
2.31,93,10,9.94,1,89,41,1523,396,486604800,0,2.296567021
4.95,591,3,65.53,1,172,48,85,391,494380800,0,4.182508053
7.62,118,3,95.39,1,277,2,67082,339,-186019200,0,4.557973751
9.16,400,3,94.51,1,155,44,34153,56,842313600,0,4.548705649
6.63,181,6,52.29,2,633,26,1414,470,-343094400,0,3.956805148
9.28,197,5,101.62,2,248,13,1195,478,163900800,0,4.621240366
2.24,467,5,97.94,1,700,25,1847,447,625363200,0,4.584355046
12.57,30,5,80.6,1,296,10,3699,38,-641174400,0,4.38949865
4.42,225,13,127.67,2,38,38,1302,121,245980800,0,4.84944881
11.95,435,9,6.11,1,440,16,136,426,-498268800,0,1.809926773
3.9,326,9,80.3,1,536,50,16183,340,271728000,0,4.385769621
8.12,57,13,80.82,1,180,37,1493,24,511747200,0,4.39222446
4.22,92,14,5.6,2,423,10,237282,388,-229132800,0,1.722766598
5.39,211,1,8.74,2,307,36,22930,290,91497600,0,2.16791019
8.79,471,1,71.87,1,471,23,6469,477,324259200,0,4.274858931
12.85,619,10,402.3,1,211,13,222785,493,-408326400,0,5.997198079
12.5,179,1,15.02,2,826,11,74,332,-777427200,0,2.709382646
10.94,253,13,342.57,1,537,23,16305,373,-1313020800,0,5.836476016
5.86,463,13,245.32,1,838,8,601723,352,542678400,0,5.502563481
11.64,552,11,82.14,1,163,29,307,281,-1211414400,0,4.408425109
1.93,18,7,216.51,1,350,17,2691,30,776995200,0,5.377636736
6.15,685,8,33.5,1,716,19,10076,443,282614400,0,3.511545439
4.6,78,3,72.43,2,27,23,680,127,-64108800,0,4.282620578
2.8,408,3,39.81,1,163,29,307,281,-1211414400,0,3.684118137
6.25,62,8,48.19,1,552,5,94014,22,524966400,0,3.875151531
5.33,148,5,206.84,1,416,43,391389,125,798508800,0,5.331945548
4.81,230,3,51.26,1,275,30,1749,442,137116800,0,3.936910721
11.58,329,5,121.98,2,216,15,2092,370,-210643200,0,4.803857097
6.09,30,5,80.51,1,575,3,1383,283,968544000,0,4.3883814
7.12,54,11,116.47,1,340,32,526,187,-893721600,0,4.757633729
2.94,72,14,9.49,2,724,44,1595797,260,845424000,0,2.250238613
8.81,339,11,28.48,1,120,30,493,441,-893116800,0,3.349202087
8.24,162,11,206.2,1,745,44,46563,445,53395200,0,5.328846572
11.11,108,3,63.33,1,163,29,307,281,-1211414400,0,4.148359151
4.27,54,11,27.84,1,286,28,12486,30,-1101168000,0,3.326473835
5.97,246,9,6.73,1,368,42,811,311,102124800,0,1.906575144
4.22,89,4,61.87,1,438,44,4090,437,259459200,0,4.12503541
7.1,406,9,10.89,1,485,25,1019,16,317692800,0,2.387844937
8.41,134,1,66.99,2,524,26,2870,72,952128000,0,4.204543355
6.32,175,12,279.68,1,745,44,46563,445,53395200,0,5.633646092
3.07,299,10,19.31,1,204,3,5161,148,765763200,0,2.960623096
4.55,208,6,35.83,1,680,33,606,440,621043200,0,3.578785531
11.36,196,5,63.54,1,742,20,2121,386,150940800,0,4.151669629
11.72,498,3,71.67,1,407,16,1423,372,939254400,0,4.27207225
2.57,216,2,6.86,2,714,44,20328,423,519609600,0,1.925707442
10.99,374,8,100.76,1,17,45,302,405,664070400,0,4.612741451
10.14,506,12,87.64,2,114,37,2142,347,236476800,0,4.473237515
3.24,215,7,18.71,1,809,37,413574,50,-17020800,0,2.92905814
4.4,172,2,4.26,1,825,39,2303,340,587606400,0,1.44926916
8.25,258,8,54.15,1,702,44,18128,257,689472000,0,3.991757973
12.86,559,7,26.92,2,724,44,1595797,188,220492800,0,3.292869505
3.83,353,5,123.58,2,205,42,1979,301,37670400,0,4.81688872
4.94,501,11,7.15,1,179,35,1166,93,455760000,0,1.967112357
8.99,417,9,206.09,1,54,13,1075,449,883699200,0,5.328312967
2.83,574,2,83.3,1,570,22,1643,196,229651200,0,4.422448549
9.92,612,6,135.26,1,814,44,144160,433,484012800,0,4.907198852
1.75,421,7,27.05,2,567,22,3228,270,851644800,0,3.297687005
9.52,323,1,74.65,2,690,15,928,326,516326400,0,4.312810524
3.21,223,10,4.35,1,804,5,337,316,-457401600,0,1.470175845
5.73,498,3,48.13,1,667,40,203571,312,849139200,0,3.873905683
7.45,71,12,4.04,1,739,10,50835,179,538963200,0,1.396244692
6.96,439,13,8.81,1,376,39,528,77,116726400,0,2.17588744
11.37,688,12,28.47,1,203,17,5760,75,307584000,0,3.348850901
6.82,242,4,28.36,2,421,44,28739,207,977788800,0,3.344979702
2.74,114,6,76.79,2,143,29,291,459,704592000,0,4.341074423
2.99,265,1,63.12,2,165,24,1536,191,382838400,0,4.145037677
10.59,145,14,8.27,1,319,24,771,409,108864000,0,2.112634509
11.57,239,12,4.16,1,763,42,343,132,100137600,0,1.425515074
10.11,527,14,3.9,1,772,18,344,72,-55555200,0,1.360976553
9.53,656,11,37.3,1,822,11,94325,147,589593600,0,3.618993327
11.13,242,4,67.03,1,810,35,6120,71,245203200,0,4.20514028
10.23,396,5,235.03,1,182,28,12335,80,590544000,0,5.459713166
4.84,372,11,17.73,2,388,41,20478,287,896918400,0,2.87525812
7.06,617,10,243.73,1,353,30,331,457,-579744000,0,5.496061055
8.24,597,7,3.9,2,615,23,24840,17,-282441600,0,1.360976553
6.98,387,12,9.7,2,501,14,129,64,-96163200,0,2.272125886
6.98,318,5,233.68,1,610,35,5950,389,78796800,0,5.453952658
1.15,139,6,15.49,1,264,39,2054,321,-170812800,0,2.740194654
10.92,164,11,23.26,2,142,39,348,282,-746668800,0,3.146735147
2.71,296,12,7.76,1,704,50,4575,435,719625600,0,2.048982334
4.51,32,12,1.22,1,852,41,52126,73,-1242086400,0,0.198850859
11.6,105,6,42.26,1,337,13,1583,212,962064000,0,3.743841012
6.84,367,11,65.72,2,388,41,20478,287,896918400,0,4.185403293
6,48,3,75.1,2,654,35,2471,224,-92966400,0,4.318820559
6.67,603,5,115.15,1,764,14,4161,363,-364694400,0,4.746235626
11.98,381,3,61.98,2,761,23,75830,156,188956800,0,4.126811752
4.68,120,3,53.71,1,865,30,73,357,-1069545600,0,3.983599204
2.56,426,8,66.95,1,809,37,413574,453,84067200,0,4.203946072
8.05,672,8,27.93,1,301,39,489,331,-388022400,0,3.32970138
2.56,298,10,9.16,2,300,31,2971,67,-654048000,0,2.214846179
10.26,623,3,60.53,2,503,20,47249,285,375235200,0,4.10313911
10.57,325,7,63.27,1,135,31,1368,322,81734400,0,4.147411283
3.98,335,2,48.86,1,358,44,2906700,111,503539200,0,3.888959066
9.56,130,2,38.42,2,868,18,564,332,860630400,0,3.648578157
2.98,200,12,416.2,2,713,34,450,252,-705542400,0,6.031165914
6.6,117,1,58.29,2,69,2,71463,385,634435200,0,4.065430552
11.85,476,9,50.55,1,315,28,5621,476,153619200,0,3.922962945
4.37,38,14,7.19,1,882,24,516,29,-81129600,0,1.972691172
4.54,394,12,1.82,2,633,26,1414,470,-343094400,0,0.598836501
11.26,180,13,9.04,1,151,36,269,249,-104025600,0,2.201659174
3.75,138,10,24.52,2,239,37,116001,289,768528000,0,3.199489111
4.21,249,6,74.16,1,499,6,61,379,-920246400,0,4.306224921
1.3,556,11,17.62,2,501,14,129,64,-96163200,0,2.869034621
9.79,636,4,53.21,2,18,51,110,11,137894400,0,3.974246349
7.8,653,8,1.07,2,28,46,207410,300,489196800,0,0.067658648
9.92,316,1,214.81,1,174,5,233717,493,-82512000,0,5.369753916
9.78,320,11,15.59,1,825,39,2303,340,587606400,0,2.746629683
10.95,677,10,4.49,1,176,39,1274,280,-624412800,0,1.501852702
